,title,description
0,Chưa chốt Quốc hội hay Chính phủ quyết danh mục dự án đầu tư công,Tỷ lệ biểu quyết chọn phương án Quốc hội hay Chính phủ quyết định đều không 'quá bán'.
1,Cao tốc Bắc - Nam đoạn phía Đông có thể khởi công vào tháng 4/2020,Trong số các hồ sơ mời thầu có tới 6 nhà đầu tư Trung Quốc muốn làm cao tốc Bắc - Nam phía Đông.
2,Ngành công nghiệp ôtô mất 17 tỷ USD vốn hóa sau đe dọa đánh thuế Mexico của Trump,"Mexico là nguồn nhập khẩu xe và phụ tùng lớn nhất của Mỹ, nên ngành công nghiệp ôtô đối mặt với việc gia tăng chi phí nếu thị trường này bị áp thuế."
3,Máy lạnh trở thành ngành hàng chủ lực thứ hai của Asanzo,"Với tỷ lệ hàng tiêu thụ vượt dự tính, chủ tịch Asanzo Phạm Văn Tam ước đoán máy lạnh chiếm 20-30% doanh số tập đoàn, xếp thứ hai sau tivi."
4,Phú Long được vinh danh tại giải thưởng khu vực châu Á BCI Asia,"Đơn vị được ban tổ chức BCI Asia Award vinh danh nhờ loạt công trình xanh, luôn đổi mới sáng tạo và nâng cao chất lượng dịch vụ..."
5,Trung Quốc nói không ngại chiến tranh thương mại với Mỹ,Trung Quốc phủ nhận việc thay đổi cam kết và cho rằng Mỹ phải chịu hoàn toàn trách nhiệm về việc đàm phán không thành công.
6,Thuế của ông Trump đang bóp nghẹt ngành nội thất Mỹ,Nhiều công ty Mỹ còn chưa vượt qua khó khăn với đợt áp thuế 10% năm ngoái thì đã phải chịu thêm thuế cao hơn gấp đôi năm nay.
7,FedEx rơi vào tầm ngắm trả đũa của Trung Quốc dành cho Mỹ,"Sau vụ chuyển nhầm bưu kiện của Huawei, FedEx rơi vào tầm ngắm trả đũa của Trung Quốc, như cách Mỹ đã đối xử với Huawei."
8,Nguyên chủ tịch doanh nghiệp bị phạt 600 triệu đồng do thao túng cổ phiếu,Bà Hoàng Thu Hoài giữ chức Chủ tịch Hội đồng quản trị của PIV trong gần 3 năm và bị miễn nhiệm vào tháng 6/2018.
9,Trump 'châm ngòi' căng thẳng thương mại với Ấn Độ,Việc loại Ấn Độ ra khỏi cơ chế hưởng ưu đãi nhập khẩu của ông Donald Trump có thể tạo ra thêm trận chiến thương mại mới với Mỹ.
10,Bốn việc phí tiền tuổi 20 mà triệu phú Mỹ thấy hối hận,"Theo triệu phú Grant Cardone, người trẻ tránh được 4 hành vi phí tiền sau đây sẽ giúp họ nhanh giàu có hơn."
11,"Mực, bạch tuộc Việt Nam bán mạnh sang Hàn Quốc","Tiền bán mực và bạch tuộc của Việt Nam cho Hàn Quốc trong 3 tháng đầu năm tăng đến 35%, đạt 61,5 triệu USD."
12,Giá xăng tiếp tục giảm,"Mỗi lít xăng RON 95 giảm 380 đồng, xăng E5 RON 92 giảm 270 đồng một lít."
13,Thuế trả đũa của Trung Quốc với Mỹ có hiệu lực,Căng thẳng thương mại giữa hai nền kinh tế lớn nhất thế giới liên tiếp leo thang thời gian gần đây. 
14,"Đầu tư homestay, airbnb lỗ sạch vốn vì ế khách","Chi 200 triệu đồng thuê nhà quận 1, TP HCM, làm nội thất đẹp để kinh doanh homestay, sau một năm anh Biên phải bán tháo vì cạn vốn."
15,"Chi 4,5 triệu USD để ăn trưa với Warren Buffett","Đây là con số kỷ lục trong 20 năm sự kiện này được tổ chức, nhằm gây quỹ từ thiện."
16,Trung Quốc có thể chỉ đang dọa Mỹ để chừa đường đàm phán,"Theo giới quan sát, Trung Quốc đang tìm cách để vừa cho Mỹ thấy họ không dễ bắt nạt, nhưng đồng thời không phá vỡ triển vọng đạt thỏa thuận."
17,Vì sao Tiki dốc tiền làm âm nhạc?,"Dù đang lỗ như nhiều tên tuổi thương mại điện tử lớn khác, Tiki vẫn quyết định tài trợ cho hàng trăm sản phẩm giải trí."
18,Chứng khoán toàn cầu mất 2.000 tỷ USD vì căng thẳng thương mại,Chiến tranh thương mại Mỹ - Trung Quốc leo thang và Mỹ áp thuế nhập khẩu lên Mexico khiến các thị trường lao dốc.
19,Thủ tướng: 'Viettel cần vào top 10 doanh nghiệp viễn thông thế giới',"Viettel được Thủ tướng giao nhiệm vụ đi đầu cuộc cách mạng 4.0, trở thành doanh nghiệp công nghệ tầm vóc khu vực và thế giới."
20,Hai kỳ tích trong 30 năm làm viễn thông của Viettel,"Doanh nghiệp từng bước phá vỡ rào càn chi phí viễn thông đắt đỏ, đưa dịch vụ di động đến mọi người Việt và vươn tầm thế giới."
21,"Kymdan giảm 5%, tặng quà trị giá đến 11 triệu đồng nhân 'Ngày của Cha'","Hóa đơn mua nệm 25 triệu đồng trở lên được giảm 5%, kèm quà tặng là bộ drap, gối, ruột mền và giảm thêm 40% khi mua thêm drap."
22,Trung Quốc có đủ USD cho cuộc chiến thương mại kéo dài?,Một số nhà phân tích cho rằng 3.100 tỷ USD dự trữ ngoại hối có thể không đủ giúp Trung Quốc vượt qua khó khăn do chiến tranh thương mại.
23,Lần đầu tiên hàng Việt được ưu tiên tại hội chợ Mỹ,"Trong số 400 khu trưng bày tại ""Hội chợ quốc tế Hoa Kỳ Global Expo 2019"" thì 200 gian hàng sẽ ưu tiên cho doanh nghiệp Việt tham gia."
24,'Đại gia' đổ tiền làm trung gian thanh toán,Sở hữu một trung gian thanh toán đang là đích đến của những doanh nghiệp đi theo hướng phát triển hệ sinh thái.
25,Hàng quán đắt khách nhờ bùng nổ dịch vụ giao đồ ăn,"Không chỉ hàng quán, tài xế mà ngay cả các đơn vị thanh toán cũng hưởng lợi từ sự bùng nổ của dịch vụ giao đồ ăn."
26,Tài phiệt từng mất 35 tỷ USD một năm muốn tìm lại hào quang,"Eike Batista từng là người giàu thứ 8 thế giới, nhưng đã sa cơ vài năm gần đây vì kinh doanh bết bát và scandal hối lộ."
27,"Bất động sản đang dự trữ vốn gấp 3,5 lần GDP toàn cầu","Tổng giá trị bất động sản toàn cầu đạt hơn 280.000 tỷ USD, gấp 3,58 lần tổng sản lượng GDP toàn cầu (78.000 tỷ USD)."
28,Sẽ buộc tái xuất container rác phế liệu không đủ tiêu chuẩn,Cơ quan chức năng sẽ phân loại container rác phế liệu nhập khẩu và đưa ra phương án xử lý. 
29,VN-Index mất mốc 960 điểm,"Đà bán mạnh cuối phiên kéo chỉ số đại diện Sở HoSE mất hơn 9 điểm, xuống dưới mốc 960 điểm."
30,Agribank tăng lãi hơn 60% năm 2018,"Phần lớn tăng trưởng lợi nhuận của Agribank vẫn dựa vào thu nhập lãi thuần, với tổng dư nợ cho vay đến cuối năm vượt mốc 1 triệu tỷ đồng."
31,Bộ trưởng Tài chính: Nhiều dự án BT không theo nguyên tắc ngang giá,Người đứng đầu ngành tài chính cho biết nhiều dự án BT có giá trị đất thanh toán lớn hơn nhiều so với mức đầu tư. 
32,Grab và Quỹ Bảo trợ Trẻ em hợp tác xây cầu cho trẻ vùng khó khăn,"Doanh nghiệp chung tay nhằm giúp con đường đến trường của nhiều em học sinh thông suốt, thuận lợi, không còn nguy hiểm trong mùa mưa lũ."
33,Thủ tướng: 'Viettel cần vào top 10 doanh nghiệp viễn thông thế giới',"Viettel được Thủ tướng giao nhiệm vụ đi đầu cuộc cách mạng 4.0, trở thành doanh nghiệp công nghệ tầm vóc khu vực và thế giới."
34,"Kymdan giảm 5%, tặng quà trị giá đến 11 triệu đồng nhân 'Ngày của Cha'","Hóa đơn mua nệm 25 triệu đồng trở lên được giảm 5%, kèm quà tặng là bộ drap, gối, ruột mền và giảm thêm 40% khi mua thêm drap."
35,Không gian nghỉ dưỡng tại dự án mang phong cách Rome ở khu Đông Sài Gòn,"Quảng trường, hồ bơi phong cách kiến Mã, trung tâm thương mại với hàng cột 14m… biến Rome by Diamond Lotus (quận 2, TP HCM) thành resort cho cư dân."
36,Tầm nhìn kiến tạo của Bitexco qua những dự án bất động sản cao cấp,"Trong phân khúc bất động sản cao cấp tại Việt Nam, Bitexco Group là một trong những thương hiệu tiên phong tạo dựng những chuẩn mực sống mới."
37,Nguyên chủ tịch doanh nghiệp bị phạt 600 triệu đồng do thao túng cổ phiếu,Bà Hoàng Thu Hoài giữ chức Chủ tịch Hội đồng quản trị của PIV trong gần 3 năm và bị miễn nhiệm vào tháng 6/2018.
38,Thẻ tín dụng mới của MSB hoàn tiền tới 20% khi thanh toán online,"Tổng số tiền chủ thẻ tín dụng MSB Visa Online được hoàn lại lên đến 300.000 đồng mỗi tháng, tương đương 3,6 triệu đồng một năm."
39,Bốn lý do nên sử dụng blockchain trong ngành bán lẻ,"Công nghệ giúp bảo mật dữ liệu, thanh toán an toàn, có thể truy xuất nguồn gốc sản phẩm, tự động tích lũy điểm cho người dùng."
40,25% người Mỹ lo lắng chuyện tiền bạc 'mọi lúc mọi nơi',"Các chi phí chủ yếu như nhà ở hay vay học đại học vẫn tiếp tục tăng, trong khi lương của người lao động Mỹ gần như không đổi."
41,Sản xuất của Trung Quốc giảm mạnh hơn dự kiến,Sản xuất đi xuống sẽ khiến Bắc Kinh chịu thêm sức ép hỗ trợ nền kinh tế đang chịu tác động từ cuộc chiến thương mại với Mỹ.
42,Hahalolo khai trương chi nhánh mới tại Hà Nội,
43,Mai-Archi hai lần liên tiếp được BCI Asia Awards vinh danh,
44,Chính sách định cư Mỹ an toàn qua chương trình EB-5,
45,Acecook Việt Nam ra mắt mì Samưrai với 7 gia vị giải cảm,
46,Celadon City được vinh danh khu đô thị đẳng cấp quốc tế,
